Followers,Tweets per Day
279,2.9068808943333333
280,2.9068973409999996
281,2.9069137876666664
282,2.906930234333333
283,2.906946681
284,2.9069631276666668
285,2.906979574333333
286,2.906996021
287,2.9070124676666667
288,2.907028914333333
289,2.9070453609999998
290,2.9070618076666666
291,2.9070782543333333
292,2.907094701
293,2.9071111476666665
294,2.9071275943333332
295,2.907144041
296,2.9071604876666663
297,2.907176934333333
298,2.907193381
299,2.9084071457083334
300,2.909620910416667
301,2.910834675125
302,2.9120484398333333
303,2.9132622045416667
304,2.9144759692499997
305,2.915689733958333
306,2.9169034986666666
307,2.918117263375
308,2.9193310280833336
309,2.9205447927916666
310,2.9217585575
311,2.9229723222083335
312,2.9241860869166665
313,2.925399851625
314,2.9266136163333334
315,2.927827381041667
316,2.9290411457500003
317,2.9302549104583333
